"age","letality","letalityL","letalityH","Hosp","Deaths","study","meanAge"
"0-9",0,0,13.2274604497754,26,0,"Richardson",4.5
"10-19",0,0,36.9416647552819,8,0,"Richardson",14.5
"20-29",4.12371134020619,1.13482725688341,10.222746629841,97,4,"Richardson",24.5
"30-39",3.7914691943128,1.65085934409945,7.33375760794233,211,8,"Richardson",34.5
"40-49",6.25,3.9579304614583,9.30993364910508,352,22,"Richardson",44.5
"50-59",10.2912621359223,7.80427612910181,13.2446632084587,515,53,"Richardson",54.5
"60-69",15.7598499061914,12.7697205112502,19.1354828037244,533,84,"Richardson",64.5
"70-79",32.1507760532151,27.8587833788291,36.6788070758986,451,145,"Richardson",74.5
"80-89",54.3130990415335,48.6162900875847,59.9275124679176,313,170,"Richardson",84.5
"90+",52.34375,43.335249020583,61.241358504509,128,67,"Richardson",90
"18-59",4.62707182320442,3.89091443645606,5.45655506279916,2896,134,"Karagiannidis",38.5
"60-69",14.8673658235657,13.1694378300425,16.6935736196933,1621,241,"Karagiannidis",64.5
"70-79",26.5060240963855,24.6536013441691,28.422457691889,2158,572,"Karagiannidis",74.5
"80+",38.2546323968918,36.6037998550485,39.9260191990686,3346,1280,"Karagiannidis",85
"0-20",0.6,0.2,1.3,789,5,"Salje",10
"20-29",1.1,0.7,1.6,2149,24,"Salje",24.5
"30-39",1.9,1.5,2.3,4660,89,"Salje",34.5
"40-49",3.3,2.9,3.8,6303,208,"Salje",44.5
"50-59",6.5,6,7,9724,632,"Salje",54.5
"60-69",12.6,12,13.2,12236,1542,"Salje",64.5
"70-79",21,20.3,21.7,13543,2844,"Salje",74.5
"80+",31.6,30.9,32.4,15370,4857,"Salje",85
"0-9",0,0,6.60315142444218,54,0,"Netherlands",4.5
"10-19",0,0,9.02511009603343,39,0,"Netherlands",14.5
"20-29",0,0,2.0285204570113,180,0,"Netherlands",24.5
"30-39",0,0,1.04545948947474,351,0,"Netherlands",34.5
"40-49",0,0,0.4270298756081,862,0,"Netherlands",44.5
"50-59",7.19111969111969,6.1158093625004,8.38933992456768,2072,149,"Netherlands",54.5
"60-69",17.9807349268641,16.5752240636802,19.4534291683361,2803,504,"Netherlands",64.5
"70-79",41.0205598216497,39.4978405263935,42.5562888760557,4037,1656,"Netherlands",74.5
"80-89",70.7023060796646,69.2297022866767,72.1431415649548,3816,2698,"Netherlands",84.5
"90+",88.4322678843227,86.5783256331575,90.1122145580283,1314,1162,"Netherlands",90
"0-9",0.638977635782748,0.0774770473772507,2.28902237697408,313,2,"Spain",4.5
"10-19",1.76991150442478,0.65222671894999,3.81235769294739,339,6,"Spain",14.5
"20-29",1.72684458398744,1.19158566200305,2.41664943879027,1911,33,"Spain",24.5
"30-39",1.54595510376959,1.21368804064373,1.93993034588065,4722,73,"Spain",34.5
"40-49",2.67555297981261,2.37325524349235,3.00484791646113,10353,277,"Spain",44.5
"50-59",5.56998731347792,5.22542301144631,5.93026492233334,16553,922,"Spain",54.5
"60-69",12.7587256493506,12.2959619803961,13.2325035760577,19712,2515,"Spain",64.5
"70-79",27.6900572215291,27.1154656172381,28.2702322383496,23243,6436,"Spain",74.5
"80+",59.199783175797,58.6365415212129,59.7612135156581,29517,17474,"Spain",85
"0-4",0,0,14.2473597722526,24,0,"Ireland",2
"5-14",0,0,18.5301968137852,18,0,"Ireland",9.5
"15-24",1.2987012987013,0.0328748651410607,7.02470606475968,77,1,"Ireland",19.5
"25-34",2.52525252525253,0.824915524140274,5.79440746425838,198,5,"Ireland",29.5
"35-44",4.37956204379562,2.2831533411817,7.52519097924679,274,12,"Ireland",39.5
"45-54",5.32150776053215,3.43898259551723,7.81476846519756,451,24,"Ireland",49.5
"55-64",13.4268537074148,10.5593367964456,16.7358190448241,499,67,"Ireland",59.5
"65-74",38.3304940374787,34.3794962065056,42.3995440075143,587,225,"Ireland",69.5
"75-84",68.9008042895442,65.442079120994,72.2092775741205,746,514,"Ireland",79.5
"0-4",0.467859940125992,0.354586256497346,0.617319254663032,NA,NA,"Fitted",2
"5-9",0.619993805937557,0.480185337732029,0.800508239623615,NA,NA,"Fitted",7
"10-14",0.821596991820721,0.649980193241356,1.03852644124835,NA,NA,"Fitted",12
"15-19",1.08875542062567,0.87930027704597,1.34810416519386,NA,NA,"Fitted",17
"20-24",1.44278566954691,1.18860868570851,1.75131690797726,NA,NA,"Fitted",22
"25-29",1.91193582030911,1.60505833143355,2.27748643734099,NA,NA,"Fitted",27
"30-34",2.53363937425925,2.16436967362714,2.96591130296104,NA,NA,"Fitted",32
"35-39",3.3575020723023,2.91296523298192,3.86987803282999,NA,NA,"Fitted",37
"40-44",4.44925993811175,3.91021171911081,5.06261947406465,NA,NA,"Fitted",42
"45-49",5.89602435697434,5.23067262071282,6.64601012886509,NA,NA,"Fitted",47
"50-54",7.81323269523067,6.9668199121624,8.76247784778372,NA,NA,"Fitted",52
"55-59",10.3538590503973,9.23380221066215,11.6097783762044,NA,NA,"Fitted",57
"60-64",13.7206200579347,12.1782894405293,15.4582805486367,NA,NA,"Fitted",62
"65-69",18.1821496562654,15.991497749757,20.6728957659926,NA,NA,"Fitted",67
"70-74",24.0944333949141,20.9246324631896,27.7444166172685,NA,NA,"Fitted",72
"75-79",31.9292125297135,27.3063862309367,37.3346587917444,NA,NA,"Fitted",77
"80-84",42.3116242684836,35.5644206176044,50.3388925546321,NA,NA,"Fitted",82
"85-89",56.070081483259,46.2533055017956,67.9703645703171,NA,NA,"Fitted",87
"90+",66.3886872469822,54.1240429414961,81.4325308096764,NA,NA,"Fitted",90
