"country","age","Cases","Hosp","ICU","Deaths","propHosp","propHosp_L","propHosp_H","propICU","propICU_L","propICU_H","propDeaths","propDeaths_L","propDeaths_H","CaseProp"
"New Zealand","0-9",92,1,0,0,1.08695652173913,0.0275155702770739,5.90778511498148,0,0,3.93032877395181,0,0,3.93032877395181,NA
"New Zealand","10-19",196,3,1,0,1.53061224489796,0.316768194304382,4.40770875881182,0.510204081632653,0.0129164147308922,2.80974346950449,0,0,1.86448079493301,NA
"New Zealand","20-29",517,7,1,0,1.35396518375242,0.546050746331662,2.76969365052235,0.193423597678917,0.00489694160156567,1.07293456484415,0,0,0.710976851082123,NA
"New Zealand","30-39",395,16,1,0,4.05063291139241,2.33271708092467,6.49475711885632,0.253164556962025,0.00640936623293786,1.40240698768819,0,0,0.929546290431849,NA
"New Zealand","40-49",308,16,3,0,5.19480519480519,2.99807810271545,8.29912134719626,0.974025974025974,0.201319766472724,2.81997539778808,0,0,1.19054439845054,NA
"New Zealand","50-59",319,29,4,2,9.09090909090909,6.17298834330298,12.794911088336,1.25391849529781,0.342678788229261,3.17923701325682,0.626959247648903,0.0760180621372646,2.24632126980032,NA
"New Zealand","60-69",222,27,6,3,12.1621621621622,8.17004939629588,17.2001895099962,2.7027027027027,0.998165732869882,5.78952854772256,1.35135135135135,0.279552864377465,3.8982137717116,NA
"New Zealand","70-79",91,27,10,7,29.6703296703297,20.5471831236399,40.1610471443025,10.989010989011,5.39709237440753,19.2819924381705,7.69230769230769,3.14862231893771,15.2087524562033,NA
"New Zealand","80-89",32,16,8,8,50,31.8874964234164,68.1125035765836,25,11.4616005102588,43.4049374922243,25,11.4616005102588,43.4049374922243,NA
"New Zealand","90+",9,9,5,5,100,66.3732883120057,100,55.5555555555556,21.2008506778868,86.3004337734833,55.5555555555556,21.2008506778868,86.3004337734833,NA
"South Korea","0-10",89,0,0,NA,0,0,4.06008575496318,0,0,4.06008575496318,NA,NA,NA,1.14058695373574
"South Korea","10-19",397,1,0,NA,0.251889168765743,0.00637707826385256,1.39538260981819,0,0,0.924885160331979,NA,NA,NA,5.0877867486864
"South Korea","20-29",2174,19,2,NA,0.873965041398344,0.526980633865386,1.3614537749934,0.0919963201471941,0.0111431235509391,0.331923250959647,NA,NA,NA,27.8610790721517
"South Korea","30-39",780,14,4,NA,1.79487179487179,0.984659568322202,2.99316826820294,0.512820512820513,0.139897779700876,1.30777873889683,NA,NA,NA,9.99615532487505
"South Korea","40-49",1037,32,2,NA,3.08582449373192,2.12007812903874,4.32850427194544,0.192864030858245,0.0233652688345839,0.694938340035378,NA,NA,NA,13.2897603485839
"South Korea","50-59",1490,128,26,NA,8.59060402684564,7.21689607314379,10.1299902099044,1.74496644295302,1.14295577166981,2.54638709157301,NA,NA,NA,19.0952197872613
"South Korea","60-69",1007,174,50,NA,17.279046673287,14.9926695924508,19.7584807847538,4.96524329692155,3.70742903383916,6.49396085461848,NA,NA,NA,12.9052928360887
"South Korea","70-79",517,199,82,NA,38.4912959381045,34.2765925545438,42.8383765871018,15.8607350096712,12.8177631082142,19.3001239672233,NA,NA,NA,6.62565679866718
"South Korea","80+",312,189,117,NA,60.5769230769231,54.9146773726333,66.0363161561564,37.5,32.1092978274204,43.1305189839628,NA,NA,NA,3.99846212995002
"Iceland","0-29",2058,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0.179085293830173,39.0734763622556
"Iceland","30-39",821,NA,NA,1,NA,NA,NA,NA,NA,NA,0.121802679658952,0.00308372930766762,0.676754640090216,15.5876210366433
"Iceland","40-49",847,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0.434575932085338,16.0812606797038
"Iceland","50-59",714,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0.515317443992699,13.5561040440478
"Iceland","60-69",503,NA,NA,3,NA,NA,NA,NA,NA,NA,0.596421471172962,0.123165735643389,1.73302920948849,9.55002847921018
"Iceland","70-79",200,NA,NA,5,NA,NA,NA,NA,NA,NA,2.5,0.816616619084252,5.73743511268459,3.79722802354281
"Iceland","80-89",90,NA,NA,14,NA,NA,NA,NA,NA,NA,15.5555555555556,8.77358646161824,24.7202580145516,1.70875261059427
"Iceland","90+",34,NA,NA,6,NA,NA,NA,NA,NA,NA,17.6470588235294,6.76406526827572,34.5315131068134,0.645528764002278
"Spain","0-19",340881,652,88,8,0.191269093906671,0.176879920978773,0.206515244089887,0.0258154605272808,0.0207052529825099,0.0318044167967813,0.00234686004793462,0.00101321286370939,0.00462419722013232,15.9123850442318
"Spain","20-34",361829,1911,105,33,0.528150037725003,0.504791725937367,0.552305933085174,0.0290192328420331,0.0237354518135045,0.0351284773458522,0.00912033032178184,0.00627809628791926,0.0128080984862542,16.8902413691856
"Spain","35-49",549854,15075,1127,350,2.74163687087845,2.69863392438307,2.78513872011887,0.204963499401659,0.193181519821034,0.217274966923973,0.0636532606837451,0.05716035495544,0.0706813144260608,25.6672814445834
"Spain","50-64",469940,16553,1851,922,3.52236455717751,3.46983917710552,3.57546396842233,0.393880069796144,0.376171888843045,0.412204087827535,0.19619525896923,0.183745247154025,0.209265555471868,21.9368818669456
"Spain","65+",419733,72472,26425,26425,17.2662144744397,17.1519806944904,17.3809003141285,6.295668913333,6.22237280628265,6.36956904822095,6.295668913333,6.22237280628265,6.36956904822095,19.5932102750536
"Ireland","20-29",13840,72,5,1,0.520231213872832,0.407264899508859,0.654702818476555,0.0361271676300578,0.0117314002759395,0.0842884487592827,0.00722543352601156,0.000182931971294077,0.0402508906249801,24.9396331134897
"Ireland","30-39",8240,197,15,5,2.39077669902913,2.07179383393083,2.74400691038181,0.182038834951456,0.101920428283729,0.300067914477327,0.0606796116504854,0.0197053466672288,0.141548681188889,14.8484520849101
"Ireland","40-49",14050,267,35,11,1.90035587188612,1.68103354957414,2.13990399933601,0.249110320284698,0.173573927538529,0.346283485401458,0.0782918149466192,0.0390892650268733,0.140042402280067,25.3180524020615
"Ireland","50-59",10208,447,92,23,4.37891849529781,3.99013499361403,4.79398915132603,0.901253918495298,0.727138687965385,1.10417851186974,0.225313479623824,0.142881371373233,0.337890195324637,18.3947814178109
"Ireland","60-69",9156,492,126,64,5.3735255570118,4.92044161171898,5.85525852144683,1.37614678899083,1.1476268606126,1.63632360701196,0.698995194408038,0.538715498322936,0.891736294152523,16.4990809817278
"Sweden","0-19",132301,NA,16,1,NA,NA,NA,0.0120936349687455,0.00691271027045326,0.0196385645602516,0.000755852185546594,1.91365186671426e-05,0.00421126607372247,24.2580983481515
"Sweden","20-49",250988,NA,438,63,NA,NA,NA,0.174510335155466,0.158560244167018,0.191628036725874,0.0251008016319505,0.0192886673641175,0.032113702796971,46.0199967362745
"Sweden","50-69",114854,NA,1278,504,NA,NA,NA,1.11271701464468,1.05285359020247,1.17506768694183,0.438817977606352,0.401412289320942,0.478759014305118,21.0590972681884
"Sweden","70+",47246,NA,532,4485,NA,NA,NA,1.12602125047623,1.03283162885739,1.2252866000194,9.49286712102612,9.22999811688885,9.76072525174267,8.66280764738563
"Il de France","20-29",137554,846,NA,NA,0.615031187751719,0.574395268260441,0.657769473167867,NA,NA,NA,NA,NA,NA,14.6166417661448
"Il de France","30-39",262674,1948,NA,NA,0.7416036608115,0.709147497110517,0.775153669463557,NA,NA,NA,NA,NA,NA,27.9120327964313
"Il de France","40-49",260971,3222,NA,NA,1.23461993861387,1.19260421594571,1.27772379886103,NA,NA,NA,NA,NA,NA,27.7310701132106
"Il de France","50-59",111480,5451,NA,NA,4.88966630785791,4.76380154806989,5.01788438986224,NA,NA,NA,NA,NA,NA,11.8459893866396
"Il de France","60-69",96066,6753,NA,NA,7.02954218974455,6.86866205125987,7.19302258846564,NA,NA,NA,NA,NA,NA,10.2080805204244
"Il de France","70-79",44840,7108,NA,NA,15.8519179304193,15.5149735552622,16.1932897695406,NA,NA,NA,NA,NA,NA,4.76474851181305
"Il de France","80+",27493,11663,NA,NA,42.4217073436875,41.8365167647054,43.0085000193741,NA,NA,NA,NA,NA,NA,2.92143690533622
"England","18-24",374983,NA,287,NA,NA,NA,NA,0.0765368030017361,0.0679400878875257,0.0859194571041318,NA,NA,NA,14.2650195591795
"England","25-34",593530,NA,755,NA,NA,NA,NA,0.127205027547049,0.118297235369242,0.136605186536131,NA,NA,NA,22.5789357356462
"England","35-44",436024,NA,1784,NA,NA,NA,NA,0.409151789809735,0.390420093158108,0.428547118084726,NA,NA,NA,16.5871276518447
"England","45-54",487889,NA,3608,NA,NA,NA,NA,0.739512471074363,0.715662089871664,0.763950605874597,NA,NA,NA,18.5601644013423
"England","55-64",400167,NA,3868,NA,NA,NA,NA,0.966596445983802,0.936513099857977,0.997392953190368,NA,NA,NA,15.2230636640546
"England","65-74",178434,NA,2344,NA,NA,NA,NA,1.31365098579867,1.2613332169298,1.36755927134811,NA,NA,NA,6.78794638696324
"England","75+",157662,NA,378,NA,NA,NA,NA,0.239753396506451,0.216214979540996,0.265150373727049,NA,NA,NA,5.99774260096953
"Netherlands","0-9",8764,54,NA,0,0.616157005933364,0.463205129458995,0.803195704308979,NA,NA,NA,0,0,0.042082419155704,1.14578417055502
"Netherlands","10-19",117222,39,NA,0,0.0332702052515739,0.0236594045096116,0.0454786887846161,NA,NA,NA,0,0,0.00314686783345194,15.3253208627112
"Netherlands","20-29",163603,180,NA,0,0.110022432351485,0.094543136511967,0.127310993907718,NA,NA,NA,0,0,0.00225474952565763,21.3890606635455
"Netherlands","30-39",75511,351,NA,0,0.464832938247408,0.417566818064781,0.515964554811378,NA,NA,NA,0,0,0.00488510197271765,9.87212557083297
"Netherlands","40-49",77452,862,NA,0,1.11294737385736,1.04025543063493,1.1893351348333,NA,NA,NA,0,0,0.00476268089737912,10.1258872179173
"Netherlands","50-59",126352,2072,NA,149,1.63986323920476,1.57055123609923,1.71140732257538,NA,NA,NA,0.117924528301887,0.0997588581247272,0.138438073901944,16.5189549883578
"Netherlands","60-69",85180,2803,NA,504,3.29067856304297,3.17188460195614,3.41266730119679,NA,NA,NA,0.591688189715896,0.541286158269085,0.64549828336714,11.1362272532949
"Netherlands","70-79",57295,4037,NA,1656,7.04599005148791,6.83774348279985,7.25860015958697,NA,NA,NA,2.89030456409809,2.75464165004427,3.03076697445803,7.49060977315722
"Netherlands","80-89",42011,3816,NA,2698,9.0833353169408,8.81018315005649,9.36215744681706,NA,NA,NA,6.42212753802576,6.18953618841296,6.6607635369007,5.49241656654347
"Netherlands","90+",11501,1314,NA,1162,11.425093470133,10.8491751526031,12.0206165088492,NA,NA,NA,10.1034692635423,9.55847886946328,10.6687470321876,1.50361293308458
"Georgia","18-49",28626,141,27,NA,0.492559211905261,0.414770123883358,0.580641420652277,0.0943198490882415,0.0621662879100566,0.1372009828976,NA,NA,NA,64.063199355474
"Georgia","50-64",16058,287,77,NA,1.78727114210985,1.58800798137879,2.00425991603216,0.479511769834351,0.378602957434514,0.598948193697423,NA,NA,NA,35.936800644526
"New York, USA","0-17",432485,273,NA,5,0.0631235765402268,0.0558590200001104,0.0710700905071828,NA,NA,NA,0.00115610946044371,0.000375386626284073,0.00269795302140516,21.8107427559346
"New York, USA","18-44",745149,5695,NA,482,0.764276674866369,0.744627551811996,0.784309999175148,NA,NA,NA,0.0646850495672678,0.0590401305076747,0.0707238297436777,37.5787672493657
"New York, USA","45-64",556924,14156,NA,2649,2.54181899146024,2.50063991364775,2.58349276378866,NA,NA,NA,0.475648382903233,0.457746634196677,0.494068266404943,28.0863523558184
"New York, USA","65-74",140728,9240,NA,2910,6.5658575407879,6.43699148617878,6.6965166688278,NA,NA,NA,2.06781877096242,1.99410298044653,2.14351862349378,7.09708361343669
"New York, USA","75+",107613,11212,NA,5772,10.4188155706095,10.2368896956936,10.602877712076,NA,NA,NA,5.36366424130914,5.22979451755437,5.49994594517998,5.42705402544456
