"Age","Proportion","Proportion_L","Proportion_H","Study","Type"
"0-4",0.003,0.002,0.004,"Driscoll","IFR"
"5-9",0.001,0,0.001,"Driscoll","IFR"
"10-14",0.001,0.001,0.001,"Driscoll","IFR"
"15-19",0.003,0.002,0.003,"Driscoll","IFR"
"20-24",0.006,0.005,0.008,"Driscoll","IFR"
"25-29",0.013,0.011,0.015,"Driscoll","IFR"
"30-34",0.024,0.021,0.028,"Driscoll","IFR"
"35-39",0.04,0.034,0.047,"Driscoll","IFR"
"40-44",0.075,0.064,0.087,"Driscoll","IFR"
"45-49",0.121,0.104,0.14,"Driscoll","IFR"
"50-54",0.207,0.177,0.239,"Driscoll","IFR"
"55-59",0.323,0.277,0.373,"Driscoll","IFR"
"60-64",0.456,0.392,0.527,"Driscoll","IFR"
"65-69",1.075,0.921,1.244,"Driscoll","IFR"
"70-74",1.674,1.435,1.937,"Driscoll","IFR"
"75-79",3.203,2.744,3.705,"Driscoll","IFR"
"80+",8.292,7.105,9.593,"Driscoll","IFR"
"0-9",0.01,0,0.06,"Brazeau","IFR"
"10-14",0.01,0,0.11,"Brazeau","IFR"
"15-19",0.02,0,0.18,"Brazeau","IFR"
"20-24",0.03,0,0.3,"Brazeau","IFR"
"25-29",0.04,0,0.46,"Brazeau","IFR"
"30-34",0.06,0.01,0.71,"Brazeau","IFR"
"35-39",0.1,0.01,1.03,"Brazeau","IFR"
"40-44",0.16,0.02,1.47,"Brazeau","IFR"
"45-49",0.24,0.03,2.03,"Brazeau","IFR"
"50-54",0.38,0.05,2.74,"Brazeau","IFR"
"55-59",0.6,0.1,3.64,"Brazeau","IFR"
"60-64",0.94,0.18,4.79,"Brazeau","IFR"
"65-69",1.47,0.35,6.27,"Brazeau","IFR"
"70-74",2.31,0.65,8.21,"Brazeau","IFR"
"75-79",3.61,1.21,10.8,"Brazeau","IFR"
"80-84",5.66,2.23,14.3,"Brazeau","IFR"
"85-89",8.86,4.06,19.3,"Brazeau","IFR"
"90+",17.37,9.7,31.12,"Brazeau","IFR"
"0-9",0.001,7e-05,0.0013,"Levin","IFR"
"10-19",0.003,0.002,0.004,"Levin","IFR"
"20-29",0.011,0.009,0.013,"Levin","IFR"
"30-39",0.035,0.03,0.042,"Levin","IFR"
"40-49",0.116,0.101,0.134,"Levin","IFR"
"50-59",0.384,0.335,0.441,"Levin","IFR"
"60-69",1.27,1.09,1.49,"Levin","IFR"
"70-79",4.19,3.45,5.1,"Levin","IFR"
"80+",15.61,12.2,20,"Levin","IFR"
"0-9",0,0,0,"Verity","IHR"
"10-19",0.0408,0.0243,0.0832,"Verity","IHR"
"20-29",1.04,0.622,2.13,"Verity","IHR"
"30-39",3.43,2.04,7,"Verity","IHR"
"40-49",4.25,2.53,8.68,"Verity","IHR"
"50-59",8.16,4.86,16.7,"Verity","IHR"
"60-69",11.8,7.01,24,"Verity","IHR"
"70-79",16.6,9.87,33.8,"Verity","IHR"
"80+",18.4,11,37.6,"Verity","IHR"
"0-20",0.1,0.08,0.2,"Salje","IHR"
"20-29",0.5,0.3,0.8,"Salje","IHR"
"30-39",1.1,0.6,1.7,"Salje","IHR"
"40-49",1.4,0.8,2.3,"Salje","IHR"
"50-59",2.9,1.6,4.7,"Salje","IHR"
"60-69",5.8,3.3,9.5,"Salje","IHR"
"70-79",9.3,5.2,15.1,"Salje","IHR"
"80+",26.2,14.8,42.7,"Salje","IHR"
