"age","letality","letalityL","letalityH","Hosp","Deaths","study"
"0-9",0,0,13.2274604497754,26,0,"Richardson"
"10-19",0,0,36.9416647552819,8,0,"Richardson"
"20-29",4.12371134020619,1.13482725688341,10.222746629841,97,4,"Richardson"
"30-39",3.7914691943128,1.65085934409945,7.33375760794233,211,8,"Richardson"
"40-49",6.25,3.9579304614583,9.30993364910508,352,22,"Richardson"
"50-59",10.2912621359223,7.80427612910181,13.2446632084587,515,53,"Richardson"
"60-69",15.7598499061914,12.7697205112502,19.1354828037244,533,84,"Richardson"
"70-79",32.1507760532151,27.8587833788291,36.6788070758986,451,145,"Richardson"
"80-89",54.3130990415335,48.6162900875847,59.9275124679176,313,170,"Richardson"
"90+",52.34375,43.335249020583,61.241358504509,128,67,"Richardson"
"18-59",4.62707182320442,3.89091443645606,5.45655506279916,2896,134,"Karagiannidis"
"60-69",14.8673658235657,13.1694378300425,16.6935736196933,1621,241,"Karagiannidis"
"70-79",26.5060240963855,24.6536013441691,28.422457691889,2158,572,"Karagiannidis"
"80+",38.2546323968918,36.6037998550485,39.9260191990686,3346,1280,"Karagiannidis"
"0-20",0.6,0.2,1.3,789,5,"Salje"
"20-29",1.1,0.7,1.6,2149,24,"Salje"
"30-39",1.9,1.5,2.3,4660,89,"Salje"
"40-49",3.3,2.9,3.8,6303,208,"Salje"
"50-59",6.5,6,7,9724,632,"Salje"
"60-69",12.6,12,13.2,12236,1542,"Salje"
"70-79",21,20.3,21.7,13543,2844,"Salje"
"80+",31.6,30.9,32.4,15370,4857,"Salje"
"0-9",0,0,6.60315142444218,54,0,"Netherlands"
"10-19",2.56410256410256,0.0648963895481946,13.4763921559498,39,1,"Netherlands"
"20-29",1.66666666666667,0.345034419697294,4.79322004963908,180,3,"Netherlands"
"30-39",3.13390313390313,1.57460854216865,5.53813485551957,351,11,"Netherlands"
"40-49",3.7122969837587,2.55280936883188,5.20045492140336,862,32,"Netherlands"
"50-59",7.19111969111969,6.1158093625004,8.38933992456768,2072,149,"Netherlands"
"60-69",17.9807349268641,16.5752240636802,19.4534291683361,2803,504,"Netherlands"
"70-79",41.0205598216497,39.4978405263935,42.5562888760557,4037,1656,"Netherlands"
"80-89",70.7023060796646,69.2297022866767,72.1431415649548,3816,2698,"Netherlands"
"90+",88.4322678843227,86.5783256331575,90.1122145580283,1314,1162,"Netherlands"
"0-9",0.638977635782748,0.0774770473772507,2.28902237697408,313,2,"Spain"
"10-19",1.76991150442478,0.65222671894999,3.81235769294739,339,6,"Spain"
"20-29",1.72684458398744,1.19158566200305,2.41664943879027,1911,33,"Spain"
"30-39",1.54595510376959,1.21368804064373,1.93993034588065,4722,73,"Spain"
"40-49",2.67555297981261,2.37325524349235,3.00484791646113,10353,277,"Spain"
"50-59",5.56998731347792,5.22542301144631,5.93026492233334,16553,922,"Spain"
"60-69",12.7587256493506,12.2959619803961,13.2325035760577,19712,2515,"Spain"
"70-79",27.6900572215291,27.1154656172381,28.2702322383496,23243,6436,"Spain"
"80+",59.199783175797,58.6365415212129,59.7612135156581,29517,17474,"Spain"
"0-4",0,0,14.2473597722526,24,0,"Ireland"
"5-14",0,0,18.5301968137852,18,0,"Ireland"
"15-24",1.2987012987013,0.0328748651410607,7.02470606475968,77,1,"Ireland"
"25-34",2.52525252525253,0.824915524140274,5.79440746425838,198,5,"Ireland"
"35-44",4.37956204379562,2.2831533411817,7.52519097924679,274,12,"Ireland"
"45-54",5.32150776053215,3.43898259551723,7.81476846519756,451,24,"Ireland"
"55-64",13.4268537074148,10.5593367964456,16.7358190448241,499,67,"Ireland"
"65-74",38.3304940374787,34.3794962065056,42.3995440075143,587,225,"Ireland"
"75-84",68.9008042895442,65.442079120994,72.2092775741205,746,514,"Ireland"
"0-9",0,0,97.5,1,0,"New Zealand"
"10-19",0,0,70.7598226178713,3,0,"New Zealand"
"20-29",0,0,40.9616397225003,7,0,"New Zealand"
"30-39",0,0,20.5907214207823,16,0,"New Zealand"
"40-49",0,0,20.5907214207823,16,0,"New Zealand"
"50-59",6.89655172413793,0.846396225300183,22.7661889944486,29,2,"New Zealand"
"60-69",11.1111111111111,2.3527454380854,29.1586924273552,27,3,"New Zealand"
"70-79",25.9259259259259,11.1144562845442,46.2848742276171,27,7,"New Zealand"
"80-89",50,24.6510111490575,75.3489888509425,16,8,"New Zealand"
"90+",55.5555555555556,21.2008506778868,86.3004337734833,9,5,"New Zealand"
"0-24",11.1111111111111,1.37512156643645,34.7120438608672,18,2,"Atlanta, USA"
"25-34",4.83870967741935,1.00919463109758,13.496194771507,62,3,"Atlanta, USA"
"35-44",2.53164556962025,0.308078078541997,8.84769927956036,79,2,"Atlanta, USA"
"45-54",13.9130434782609,8.16658421005981,21.6086309415008,115,16,"Atlanta, USA"
"55-64",19.1860465116279,13.590147166173,25.8754603200414,172,33,"Atlanta, USA"
"65-74",38.3333333333333,31.1988593387266,45.8588244362898,180,69,"Atlanta, USA"
"75+",65.3846153846154,59.2593659232615,71.1545207048356,260,170,"Atlanta, USA"
"0-17",1.83150183150183,0.597291910356419,4.22212293007563,273,5,"New York City, USA"
"18-44",8.46356453028973,7.75330728540351,9.21670596529176,5695,482,"New York City, USA"
"45-64",18.7129132523312,18.0733811224122,19.3653309279009,14156,2649,"New York City, USA"
"65-74",31.4935064935065,30.5469662855038,32.4517263526961,9240,2910,"New York City, USA"
"75+",51.4805565465573,50.5507189814382,52.4096249399216,11212,5772,"New York City, USA"
