"age","country","cumDeathsFitted","cumICUFitted","cumHospFitted","cumDeathObs","cumICUObs","cumHospObs","ageLim"
"0-14","Uruguay",0.0430783569240906,0.156128402637453,1.06027522805335,0,0,0,"<14"
"15-24","Uruguay",0.29036374149555,0.857098848031143,4.23067476957535,0,0,1.2448132780083,"<24"
"25-34","Uruguay",1.27039913005667,3.13936240095465,11.6876406572934,0,1.45985401459854,7.05394190871369,"<34"
"35-44","Uruguay",3.3912627821731,7.19687207305696,21.2648283320144,0,5.10948905109489,15.9751037344398,"<44"
"45-54","Uruguay",8.80989042643941,15.7133279542138,35.7865934398401,2.75229357798165,16.7883211678832,30.9128630705394,"<54"
"55-64","Uruguay",20.4779815471279,30.7791274275022,54.344746913537,19.2660550458716,40.8759124087591,51.2448132780083,"<64"
"65-74","Uruguay",36.7429490750523,48.0322754831873,69.6977381156659,45.8715596330275,73.7226277372263,71.3692946058091,"<74"
"0-9","New Zealand",0.0165457133045857,0.0603761769565677,0.41188462314473,0,0,0.819672131147541,"<9"
"10-19","New Zealand",0.116869903840767,0.361128199992308,1.89406342887088,0,5.55555555555556,3.27868852459016,"<19"
"20-29","New Zealand",0.870038253745014,2.21601637488022,8.49783202392507,0,11.1111111111111,9.01639344262295,"<29"
"30-39","New Zealand",2.50779930846525,5.52960803553941,17.0200997847173,0,16.6666666666667,22.1311475409836,"<39"
"40-49","New Zealand",6.14239481987146,11.5708650569826,28.244562768752,0,33.3333333333333,35.2459016393443,"<49"
"50-59","New Zealand",16.8563044276635,26.2007861225663,47.8809828628316,8,55.5555555555556,57.3770491803279,"<59"
"60-69","New Zealand",38.0771260516789,50.0063776717198,70.9634051506439,20,77.7777777777778,75.4098360655738,"<69"
"70-79","New Zealand",62.8343838024219,72.8225137909107,86.945237699328,48,100,90.1639344262295,"<79"
"80-89","New Zealand",87.6122012920618,91.5821921773189,96.4379853939306,80,100,96.7213114754098,"<89"
"0-10","South Korea",0.00300972593201451,0.0114521503780463,0.0873946966512973,NA,0,0,"<10"
"10-19","South Korea",0.0392729805665096,0.125929221759059,0.728839833135808,NA,0,0.132275132275132,"<19"
"20-29","South Korea",0.604454220658142,1.59168713322898,6.66198979843497,NA,0.706713780918728,2.64550264550265,"<29"
"30-39","South Korea",1.18158565095451,2.82131023340576,10.2576377587618,NA,2.12014134275618,4.4973544973545,"<39"
"40-49","South Korea",3.36537531233957,6.64366392210901,18.3321834114414,NA,2.82685512367491,8.73015873015873,"<49"
"50-59","South Korea",12.2957615633336,19.4850849727141,37.92885806143,NA,12.0141342756184,25.6613756613757,"<59"
"60-69","South Korea",29.4734756835565,39.7773717683721,60.2997016101827,NA,29.6819787985866,48.6772486772487,"<69"
"70-79","South Korea",54.5737442733843,64.1367819075334,79.6996336764498,NA,58.6572438162544,75,"<79"
"0-29","Iceland",0.409228983419183,1.27309175835666,6.603568381137,0,NA,NA,"<29"
"30-39","Iceland",1.73164476205768,4.04965071946161,14.1196245699863,3.44827586206897,NA,NA,"<39"
"40-49","Iceland",5.61458048263975,10.7472915921562,27.2170835635403,3.44827586206897,NA,NA,"<49"
"50-59","Iceland",14.9305257447423,23.9484293139862,45.8662156471716,3.44827586206897,NA,NA,"<59"
"60-69","Iceland",33.6093108997451,45.6932503976358,68.0576397930554,13.7931034482759,NA,NA,"<69"
"70-79","Iceland",54.7472461350644,65.90912582393,82.9616781928618,31.0344827586207,NA,NA,"<79"
"80-89","Iceland",81.8196613448013,87.1797272608675,94.2902001472134,79.3103448275862,NA,NA,"<89"
"0-19","Spain",0.0566507285267393,0.197615211300954,1.37665357868208,0.0303872200034728,0.750057696745904,0.539728633655435,"<19"
"20-34","Spain",0.431664266066745,1.12498229926558,5.03365056811567,0.151936100017364,1.84629586891299,2.26906323536775,"<34"
"35-49","Spain",3.16799665201253,6.1635575705668,17.233480700473,1.41951727730509,14.3549503807985,16.4882591498523,"<49"
"50-64","Spain",14.3970142539252,21.5598031552131,40.1228576628398,4.6014933148116,34.721901684745,32.2445301156561,"<64"
"20-29","Ireland",1.45574069444007,2.77306335954453,7.30144029167176,0.961538461538462,1.83150183150183,4.88135593220339,"<29"
"30-39","Ireland",4.54924994862461,7.61422928046524,16.5097683995483,5.76923076923077,7.32600732600733,18.2372881355932,"<39"
"40-49","Ireland",16.9638906382105,23.5750595922833,38.4412701610461,16.3461538461538,20.1465201465201,36.3389830508475,"<49"
"50-59","Ireland",40.1731699246253,48.0885841395947,62.774553979972,38.4615384615385,53.8461538461538,66.6440677966102,"<59"
